"Title";"Year";"Album";"Popularity";"durationMin";"Key";"Mode";"Tempo";"Time_signature";"Valence";"Danceability";"Energy";"Loudness";"Acousticness";"Single A side";"Single B side";"Single certification";"newStyle";"newTheme";"newMood";"newGenre";"Songwriter(s)";"primaryWriter";"Lead vocal(s)";"primaryVocals";"Cover";"Covered by";"Chart position UK (Wikipedia)";"Chart position US (Wikipedia)";"Highest position (The Guardian)";"Weeks on chart in UK (The Guardian)";"Weeks at No1 in UK (The Guardian)";"Highest position (Billboard)";"Weeks at No1 (Billboard)";"Top 50 (Billboard)";"Top 50 (Ultimate classic rock)";"Top 50 (Rolling Stone)";"Top 50 (NME)";"Top 50 (Top50songs.org)";"Top 50 (USA today, 2017)";"Top 50 (Vulture, by Bill Wyman)"
"Dear Prudence";"1968";"The Beatles";"61";3.93;"G";"Major";"150.721";"4";"0.332";"0.388";"0.529";"-10.533";"0.16";"";"";"";"British Psychedelia";"Affection/Fondness";"Circular";"Rock";"Lennon";"Lennon";"Lennon";"Lennon";"N";"15";"";"";"";"0";"0";"";"0";"";"";"";"37";"";"50";"6"
"Devil in Her Heart";"1963";"With the Beatles";"49";2.45;"G";"Major";"121.072";"4";"0.966";"0.618";"0.622";"-8.861";"0.227";"";"";"";"British Invasion";"";"Earnest";"Rock";"Drapkin (aka Ricky Dee)";"Other";"Harrison";"Harrison";"Y";"";"";"";"";"0";"0";"";"0";"";"";"";"";"";"";""
"Dig It";"1969";"Let It Be";"48";0.85;"F";"Major";"157.03";"3";"0.67";"0.54";"0.489";"-12.276";"0.659";"";"";"";"Album Rock";"Celebrities";"Freewheeling";"Rock";"Lennon, with McCartney, Harrison and Starkey";"Lennon";"Lennon";"Lennon";"N";"";"";"";"";"0";"0";"";"0";"";"";"";"";"";"";""
"Dig a Pony";"1969";"Let It Be";"54";3.87;"B";"Minor";"59.004";"4";"0.527";"0.538";"0.478";"-8.957";"0.472";"";"";"";"Album Rock";"Adventure";"Freewheeling";"Blues Rock";"Lennon";"Lennon";"Lennon";"Lennon";"N";"3";"";"";"";"0";"0";"";"0";"";"";"";"";"";"";""
"Dizzy Miss Lizzy";"1965";"Help!";"50";2.42;"A";"Major";"136.037";"4";"0.918";"0.373";"0.934";"-6.753";"0.116";"";"";"";"British Invasion";"Partying";"Energetic";"Rock and Roll";"Williams";"Other";"Lennon";"Lennon";"Y";"";"";"";"";"0";"0";"";"0";"";"";"";"";"";"";""
"Do You Want to Know a Secret?";"1963";"Please Please Me";"66";1.93;"E";"Major";"124.451";"4";"0.609";"0.673";"0.349";"-12.414";"0.608";"Do You Want to Know a Secret?";"Thank You Girl";"RIAA Gold";"British Invasion";"Affection/Fondness";"Bright";"Pop/Rock";"Lennon";"Lennon";"Harrison";"Harrison";"N";"7";"";"2";"";"0";"0";"2";"0";"26";"";"";"";"";"";""
"Doctor Robert";"1966";"Revolver";"52";2.25;"E";"Major";"164.626";"4";"0.574";"0.394";"0.64";"-8.992";"0.164";"";"";"";"British Invasion";"Illness";"Bright";"Psychedelic Rock";"Lennon, with McCartney";"Lennon";"Lennon";"Lennon";"N";"1";"";"";"";"0";"0";"";"0";"";"";"";"";"";"";""
"Don't Bother Me";"1963";"With the Beatles";"53";2.48;"D";"Major";"170.377";"4";"0.916";"0.371";"0.724";"-9.792";"0.554";"";"";"";"British Invasion";"Breakup";"Nocturnal";"Rock and Roll";"Harrison";"Harrison";"Harrison";"Harrison";"N";"2";"";"";"";"0";"0";"";"0";"";"";"";"";"";"";""
"Don't Let Me Down";"1969";"Past Masters (Vols. 1 & 2 / Remastered)";"48";3.58;"E";"Major";"163.63";"4";"0.783";"0.486";"0.489";"-8.626";"0.147";"Get Back";"Don't Let Me Down";"RIAA 2xPlatinum";"Contemporary Pop/Rock";"";"Passionate";"Blues Rock";"Lennon";"Lennon";"Lennon";"Lennon";"N";"19";"";"35";"";"0";"0";"";"0";"";"";"46";"";"";"";""
"Don't Pass Me By";"1968";"The Beatles";"52";3.85;"C";"Major";"84.895";"4";"0.946";"0.599";"0.537";"-9.617";"0.594";"";"";"";"Contemporary Pop/Rock";"Feeling Blue";"Amiable/Good-Natured";"Country Rock";"Starkey";"Starkey";"Starkey";"Starkey";"N";"2";"";"";"";"0";"0";"";"0";"";"";"";"";"";"";""
"Drive My Car";"1965";"Rubber Soul";"69";2.47;"D";"Major";"122.463";"4";"0.82";"0.754";"0.571";"-8.547";"0.0173";"";"";"";"British Invasion";"";"Bravado";"Rock";"McCartney, with Lennon";"McCartney";"McCartney, with Lennon";"McCartney";"N";"12";"";"";"";"0";"0";"";"0";"";"43";"43";"";"38";"39";"38"
"Eight Days a Week";"1964";"Beatles for Sale";"69";2.73;"A";"Major";"138.134";"4";"0.744";"0.652";"0.583";"-7.811";"0.412";"Eight Days a Week";"I Don't Want to Spoil the Party";"RIAA Gold";"British Invasion";"In Love";"Bright";"Rock";"McCartney, with Lennon";"McCartney";"Lennon, with McCartney";"Lennon";"N";"6";"";"1";"";"0";"0";"1";"2";"21";"28";"34";"";"28";"";""
"Eleanor Rigby";"1966";"Revolver";"72";2.13;"E";"Minor";"137.831";"4";"0.813";"0.581";"0.28";"-9.091";"0.936";"Yellow Submarine";"Eleanor Rigby";"RIAA Gold";"Baroque Pop";"Introspection";"Eerie";"Baroque Pop";"McCartney";"McCartney";"McCartney";"McCartney";"N";"56";"1";"11";"";"0";"0";"11";"0";"38";"16";"22";"27";"9";"12";"9"
"Every Little Thing";"1964";"Beatles for Sale";"48";2.02;"D";"Major";"123.227";"4";"0.678";"0.74";"0.49";"-9.095";"0.488";"";"";"";"British Invasion";"In Love";"Reflective";"Rock";"McCartney";"McCartney";"Lennon, with McCartney";"Lennon";"N";"1";"";"";"";"0";"0";"";"0";"";"";"";"";"";"";""
"Everybody's Got Something to Hide Except Me and My Monkey";"1968";"The Beatles";"52";2.4;"D";"Major";"117.089";"4";"0.81";"0.523";"0.731";"-8.613";"0.0207";"";"";"";"Contemporary Pop/Rock";"";"Brash";"Hard Rock";"Lennon";"Lennon";"Lennon";"Lennon";"N";"9";"";"";"";"0";"0";"";"0";"";"";"";"";"";"";""
"Everybody's Trying to Be My Baby";"1964";"Beatles for Sale";"46";2.38;"E";"Major";"85.172";"4";"0.943";"0.543";"0.806";"-7.231";"0.466";"";"";"";"British Invasion";"Summer";"Rollicking";"Rock and Roll";"Perkins";"Other";"Harrison";"Harrison";"Y";"";"";"";"";"0";"0";"";"0";"";"";"";"";"";"";""
"Fixing a Hole";"1967";"Sgt. Pepper's Lonely Hearts Club Band";"56";2.43;"C";"Minor";"112.984";"4";"0.619";"0.469";"0.507";"-8.917";"0.382";"";"";"";"Contemporary Pop/Rock";"";"Amiable/Good-Natured";"Psychedelic pop";"McCartney";"McCartney";"McCartney";"McCartney";"N";"5";"";"";"";"0";"0";"";"0";"";"";"";"";"";"49";""
"Flying";"1967";"Magical Mystery Tour";"53";2.28;"C";"Major";"92.929";"4";"0.261";"0.551";"0.395";"-14.755";"0.368";"";"";"";"British Psychedelia";"";"Dreamy";"Psychedelic Rock";"Lennon, McCartney, Harrison and Starkey";"Lennon, McCartney, Harrison and Starkey";"";"None";"N";"2";"";"";"";"0";"0";"";"0";"";"";"";"";"";"";""
"For No One";"1966";"Revolver";"67";2.02;"C#/Db";"Minor";"81.208";"4";"0.713";"0.483";"0.351";"-10.487";"0.783";"";"";"";"British Invasion";"Breakup";"Bittersweet";"Baroque Pop";"McCartney";"McCartney";"McCartney";"McCartney";"N";"10";"";"";"";"0";"0";"";"0";"";"";"40";"18";"";"24";"34"
"For You Blue";"1969";"Let It Be";"52";2.53;"D";"Major";"128.542";"4";"0.955";"0.88";"0.556";"-10.773";"0.24";"The Long and Winding Road";"For You Blue";"RIAA Platinum";"Album Rock";"In Love";"Amiable/Good-Natured";"Country Blues";"Harrison";"Harrison";"Harrison";"Harrison";"N";"1";"";"71";"";"0";"0";"";"0";"";"";"";"";"";"";""
"From Me to You";"1963";"Past Masters (Vols. 1 & 2 / Remastered)";"42";1.93;"G";"Major";"136.125";"4";"0.966";"0.644";"0.66";"-8.513";"0.613";"From Me to You";"Thank You Girl";"";"British Invasion";"In Love";"Bright";"Merseybeat";"Lennon and McCartney";"Lennon and McCartney";"Lennon and McCartney";"Lennon and McCartney";"N";"10";"1";"41";"1";"21";"7";"";"0";"";"44";"";"";"";"";""
"Get Back";"1969";"Let It Be";"70";3.23;"D";"Major";"123.095";"4";"0.332";"0.761";"0.592";"-9.836";"0.492";"Get Back";"Don't Let Me Down";"RIAA 2xPlatinum";"Album Rock";"Argument";"Freewheeling";"Blues Rock";"McCartney";"McCartney";"McCartney";"McCartney";"N";"21";"1";"1";"1";"17";"6";"1";"5";"4";"29";"41";"32";"14";"30";""
"Getting Better";"1967";"Sgt. Pepper's Lonely Hearts Club Band";"56";2.78;"C";"Major";"121.672";"4";"0.764";"0.632";"0.471";"-7.887";"0.313";"";"";"";"Contemporary Pop/Rock";"Reflection";"Bright";"Psychedelic Rock";"McCartney, with Lennon";"McCartney";"McCartney";"McCartney";"N";"11";"";"";"";"0";"0";"";"0";"";"48";"";"";"49";"";""
"Girl";"1965";"Rubber Soul";"66";2.55;"F";"Minor";"96.615";"4";"0.893";"0.699";"0.294";"-13.205";"0.587";"Michelle";"Girl";"";"British Invasion";"Feeling Blue";"Autumnal";"Folk";"Lennon";"Lennon";"Lennon";"Lennon";"N";"11";"";"";"";"0";"0";"";"0";"";"";"";"";"47";"38";""
"Glass Onion";"1968";"The Beatles";"58";2.28;"G";"Minor";"120.432";"4";"0.789";"0.523";"0.51";"-9.827";"0.0123";"";"";"";"British Psychedelia";"Vacation";"Trippy";"Psychedelic Rock";"Lennon";"Lennon";"Lennon";"Lennon";"N";"2";"";"";"";"0";"0";"";"0";"";"";"";"";"46";"";""
"Golden Slumbers";"1969";"Abbey Road";"70";1.52;"C";"Major";"80.608";"4";"0.239";"0.419";"0.152";"-12.126";"0.326";"";"";"";"Album Rock";"";"Dramatic";"Rock";"McCartney";"McCartney";"McCartney";"McCartney";"N";"16";"";"";"";"0";"0";"";"0";"";"";"";"";"45";"";""
"Good Day Sunshine";"1966";"Revolver";"65";2.15;"B";"Major";"117.331";"3";"0.571";"0.77";"0.496";"-8.45";"0.719";"";"";"";"British Invasion";"Playful";"Carefree";"Sunshine Pop";"McCartney";"McCartney";"McCartney";"McCartney";"N";"4";"";"";"";"0";"0";"";"0";"";"";"";"";"";"";""
"Good Morning, Good Morning";"1967";"Sgt. Pepper's Lonely Hearts Club Band";"52";2.68;"D";"Major";"121.849";"3";"0.93";"0.542";"0.618";"-8.876";"0.0858";"";"";"";"British Psychedelia";"Reflection";"Brash";"Rock";"Lennon";"Lennon";"Lennon";"Lennon";"N";"8";"";"";"";"0";"0";"";"0";"";"";"";"";"";"";""
"Good Night";"1968";"The Beatles";"51";3.18;"G";"Major";"146.408";"3";"0.178";"0.146";"0.355";"-14.583";"0.865";"";"";"";"Lullabies";"Family Gatherings";"Amiable/Good-Natured";"Orchestral Pop";"Lennon";"Lennon";"Starkey";"Starkey";"N";"7";"";"";"";"0";"0";"";"0";"";"";"";"";"";"";""
"Got to Get You Into My Life";"1966";"Revolver";"60";2.45;"C";"Major";"136.679";"4";"0.711";"0.521";"0.524";"-6.136";"0.42";"Got to Get You into My Life";"Helter Skelter";"RIAA Gold";"British Invasion";"";"Bright";"R&B";"McCartney";"McCartney";"McCartney";"McCartney";"N";"10";"";"7";"";"0";"0";"7";"0";"23";"26";"50";"28";"";"";""
"Happiness Is a Warm Gun";"1968";"The Beatles";"61";2.72;"A";"Minor";"139.288";"4";"0.44";"0.431";"0.54";"-9.6";"0.523";"";"";"";"British Psychedelia";"";"Complex";"Pop/Rock";"Lennon";"Lennon";"Lennon";"Lennon";"N";"11";"";"";"";"0";"0";"";"0";"";"";"24";"";"50";"41";""
"Hello, Goodbye";"1967";"Magical Mystery Tour";"63";3.45;"C";"Major";"99.307";"4";"0.806";"0.479";"0.733";"-8.753";"0.306";"Hello, Goodbye";"I Am the Walrus";"RIAA Gold";"British Psychedelia";"";"Cheerful";"Pop/Rock";"McCartney";"McCartney";"McCartney";"McCartney";"N";"6";"1";"1";"1";"12";"7";"1";"3";"7";"45";"";"";"22";"";""
"Help!";"1965";"Help!";"74";2.3;"F#/Gb";"Minor";"95.003";"4";"0.763";"0.534";"0.725";"-7.576";"0.188";"Help!";"I'm Down";"RIAA Gold";"British Invasion";"Feeling Blue";"Angst-Ridden";"Folk Rock";"Lennon, with McCartney";"Lennon";"Lennon";"Lennon";"N";"43";"1";"1";"1";"14";"3";"1";"3";"14";"13";"15";"41";"4";"8";"36"
"Helter Skelter";"1968";"The Beatles";"63";4.5;"A";"Major";"167.518";"4";"0.281";"0.166";"0.831";"-8.469";"0.000606";"Got to Get You into My Life";"Helter Skelter";"RIAA Gold";"Album Rock";"";"Aggressive";"Hard Rock";"McCartney";"McCartney";"McCartney";"McCartney";"N";"24";"";"";"";"0";"0";"";"0";"";"31";"";"";"";"31";""
"Her Majesty";"1969";"Abbey Road";"27";0.38;"D";"Major";"100.874";"3";"0.522";"0.703";"0.215";"-23.03";"0.728";"";"";"";"Contemporary Pop/Rock";"";"Bright";"Music Hall";"McCartney";"McCartney";"McCartney";"McCartney";"N";"1";"";"";"";"0";"0";"";"0";"";"";"";"";"";"";""
"Here Comes the Sun";"1969";"Abbey Road";"87";3.1;"A";"Major";"129.171";"4";"0.394";"0.557";"0.54";"-10.484";"0.0339";"";"";"";"Album Rock";"Day Driving";"Bright";"Folk Pop";"Harrison";"Harrison";"Harrison";"Harrison";"N";"27";"";"";"";"0";"0";"";"0";"";"32";"28";"4";"5";"9";"16"
"Here, There and Everywhere";"1966";"Revolver";"70";2.42;"G";"Major";"165.361";"4";"0.36";"0.29";"0.247";"-12.125";"0.921";"";"";"";"British Invasion";"Comfort";"Calm/Peaceful";"Soft Rock";"McCartney";"McCartney";"McCartney";"McCartney";"N";"29";"";"";"";"0";"0";"";"0";"";"";"25";"38";"";"";"7"
"Hey Bulldog";"1968";"Yellow Submarine";"55";3.23;"G";"Major";"100.495";"4";"0.947";"0.587";"0.617";"-9.164";"0.0197";"All Together Now";"Hey Bulldog";"";"Contemporary Pop/Rock";"Cool & Cocky";"Fiery";"Psychedelic Rock";"Lennon";"Lennon";"Lennon";"Lennon";"N";"11";"";"";"";"0";"0";"";"0";"";"";"";"11";"";"";""
"Hey Jude";"1968";"Past Masters (Vols. 1 & 2 / Remastered)";"51";7.18;"A#/Bb";"Major";"147.114";"4";"0.649";"0.399";"0.573";"-9.44";"0.0293";"Hey Jude";"Revolution";"RIAA 4xPlatinum";"Contemporary Pop/Rock";"Affection/Fondness";"Dramatic";"Rock";"McCartney";"McCartney";"McCartney";"McCartney";"N";"38";"1";"1";"1";"16";"2";"1";"9";"1";"11";"7";"10";"6";"4";"20"
